 COD. ARTICULO; NOMBRE DEL ARTICULO;PRECIO DE VENTA $
000IL139;PANTALON CABALLERO;15
000IL140;PANTALON CABALLERO;15
012013YE05;CHEMISE ESCOLAR;10
012015YE01;CHEMISE ESCOLAR;10
012015YE02;CHEMISE ESCOLAR;10
012015YE03;CHEMISE ESCOLAR;10
012015YE04;CHEMISE ESCOLAR;10
0162339BWHTF;CAMISA CABALLERO;5
02U0054;FALDA DAMA;4
082009YE04;CHEMISE ESCOLAR;10
988;PIJAMA LARGA ;6
1201;PANTALON ESCOLAR;17,5
13064;BLUSA DE DAMA ;5
13075;FRANELA DE CABALLERO ;9
14049;LEGGING DE DAMA;8
14054;BLUSA DE DAMA;7
14055;FRANELA DE CABALLERO ;8
14056;BLUSA DE DAMA ;3
14064;BLUSA DE DAMA ;3
14065;BLUSA DE DAMA ;3
14078;BRAGA DE DAMA ;10
15024;FRANELA DE CABALLERO ;9
15063;FRANELA DE DAMA ;5
15067;FRANELA DE DAMA ;5
15165;BLUSA DE DAMA;7
1531;PIJAMA CORTA ;4
16005;FRANELA DE CABALLERO ;9
16015;FRANELA DE CABALLERO ;9
16033;FRANELA DE CABALLERO ;9
16035;FRANELA DE CABALLERO ;8
16080;CHEMISE CABALLERO ;9
16081;FRANELA DE CABELLERO ;9
16082;CHEMISE DE CABALLERO ;9
16085;CHEMISE DE CABALLERO ;9
17026;FRANELA DAMA;7
17046;FRANELA DE CABALLERO ;10
17048;FRANELA DE CABALLERO ;10
17053;FRANELA DE CABALLERO ;10
17055;FRANELA DE CABALLERO ;8
17066;FRANELA DE CABALLERO ;10
17080;FRANELA DE CABALLERO ;12
17085;FRANELA DE CABALLERO ;8
18004;BLUSA DE DAMA ;5
18005;FRANELA DE DAMA ;3
18016;JOGGER DAMA;12
198;PANTALON JEANS CABALLERO ;20
200;PANTALON JEANS CLARO DE CABALLERO ;20
21090;SWEATER CABALLERO;20
21094;SWEATER DE DAMA;20
21095;JOGGER CABALLERO;16
22017;SWEATER MORGANA;14
22018;SWEATER;12
22019;KARDIGAN ;12
22023;LEGGING DE DAMA;7
22024;LEGGING DE DAMA;7
22026;LEGGING DE DAMA;8
22027;LEGGING DE DAMA;7
22029;LEGGIN DE DAMA;10
22031;LEGGIN DE DAMA;10
45201501BOY;PANTALON ESCOLAR;10
76019;PANTALON SURF DAMA ;4
BL2016ELIGMA;BLUSA DE DAMA ;4
CEM0001;PANTALON DAMA ;10
CEM0002;PANTALON DAMA BOTA ANCHA;12
CEM0003;FALDA DAMA;8
CEM0004;BRAGA DAMA;12
CEM0005;CAMISA DAMA;12
CEM0006;PANTALON DAMA;8
CEM0007;PANTALON DAMA NEGRO;12
CEM0008;PANTALON DAMA BLANCO;12
ECKFR;FRANELA CABALLERO ;5
