REF SUJOYA;DESCRIPCION;PRECIO REFLEJADO EN CATALOGO
442;JGO DE 4 REFRACTARIOS CON TAPA;48
444;SET DE 2 REFRACTARIOS CUADRADOS;24
349;SET DE 2 REFRACTARIOS OVALADO;36
350;SET DE ENSALADERAS C/TAPA Y UTENSILIOS;24
120;JGO DE 3 REFRACTARIOS REDONDOS C/TAPA;36
352;SET REFRACTARIOS OVALADO C/TAPA YBANDEJA;36
134;JUEGO JARRA CON 6 VASOS ACANALADOS;18
133;JUEGO DE JARRA CON 6 VASOS TALLADOS;18
132;JUEGO DE JARRA CON 6 VASOS ORION;12
364;VASO GIRALDA;24
112;VAJILLAS DE 20 PZAS PORCELANA IMPORTADA;48
122;JUEGO DE CONDIMENTERO CON BASE;36
275 , 296, 280;SET COMBO PICNIC (4PLATOS FLORAL + 1CONSERVADOR + 1BOWL);12
322;CESTA RECTANGULAR MULTIUSO;6
135;BATEA MULTIUSO;6
307;BANQUETA PLASTICA PLEGLABLE;12
137;JARRA PLASTICA JUMBO 4 LTS;6
441;CONSERVADOR CIERRE HERMETICO 5 PZAS.;9
140;JUEGO DE 3 CONSERVADORES REDONDOS;9
136;JUEGO DE 3 CONSERVADORES CON JARRA;12
138;JUEGO DE 2 POTES DE COCINA MULTIUSO;9
143;JUEGO DE 3 CONSERVADORES RECTANGULARES;9
139;VAJILLA PLASTICA DE 12 PZAS;15
TORTERA-GRANDE;TORTERA GRANDE NICOLOSO;9
PAILA4;SET DE 4 PAILAS DE ALUMINIO;15
SART24;SARTEN NICOLOSO 24 CM;6
162;ASADOR DE AREPA DE ALUMINIO;9
159;PAELLERA DE ALUMINIO;6
OLLAS-14PZAS;JUEGO DE OLLAS ALUMINIO 14 PIEZAS;36
164;JUEGO COLADOR DE CAFE;12
1415-1710;JUEGO DE OLLA DE ALUM 10 PZS S/COLADOR ASA NEGRA.;30
158;JGO DE OLLAS DE ALUMNIO 10 PZAS S/COLADOR;27
382; JUEGO DE OLLAS CARIBE 9 PIEZAS ALUMINIO;24
227;CARRITO COTUFERO SUJOYA DISEÑO FESTIVO;48
SJY-408;COCINA ELECTRICA DE 2 HORNILLAS;24
SJY-409;COCINA ELECTRICA 1 HORNILLA 1000W;15
SY-P30;SARTEN ELECTRICO/HORNO PIZZA 30CM DIAM. 1500W;36
SJY-388;BALANZA DE COCINA DIGITAL SUJOYA 7KG;9
SJY-386;BALANZA DE COCINA MECANICA SUOJYA 5 KG;6
SJY-384;PESO ELECTRONICO DE 40KG-5G-LCD-110V;36
SJY-18;"VENTILADOR HURACAN METALICO SUJOYA 18""";24
SJY-18P;"VENTILADOR HURACAN PLASTICO SUJOYA 18""";24
SJY-10;"VENTILADOR MINI HURACAN 10""";15
SJY-20;"VENTILADOR TURBO BOX SUJOYA 20""";42
CSY-05;BATIDORA DE INMERSION 3 EN 1 300W SUJOYA;30
242;ASADOR DE EMPANADAS SUJOYA;18
241;BATIDORA DE MANO 5 VELOCIDADES 250W SUJOYA;24
243;BATIDORA DE PEDESTAL 5 VELOCIDADES 250W SUJOYA;36
SJYA-01B;BATIDORA PROFESIONAL SUJOYA MOD ARCHITEC 660W BOWL ACERO, NEGRA;168
SJYA-01R;BATIDORA PROFESIONAL SUJOYA MOD ARCHITEC 660W BOWL ACERO ROJA;168
SJYA-01S;BATIDORA PROFESIONAL SUJOYA MOD ARCHITEC 660W BOWL ACERO, PLATEADO;168
236;LICUADOR CROMADA SUJOYA;48
237-B;LICUADORA PLASTICA SUJOYA C/PICADOR;24
240;SANDWICHERA GRILL DISEÑO GRANDE 4 PANES;48
372;SARTEN 20 CM ANTIADHERENTE;9
371;SARTEN 24 CM ANTIADHERENTE;15
370;SARTEN 26 CM ANTIADHERENTE;18
191;JUEGO DE TRES SARTENES ALUBAT;30
188;PLANCHA  ASADORA;18
193;SARTEN FAMILIAR;18
196;BANDEJA PARA PONQUE;6
200;BANDEJA CUADRADA;6
197;BANDEJA PARA PIE;6
199;BANDEJA PARA PIZZA;6
184;KIT DE REPOSTERIA 12 PIEZAS;36
HH-093204;SARTEN ELECTRICO HOLSTEN;48
HH-09125001B;SANDWICHERA MAKER HOLSTEIN 2 PANES NGRA;36
HH-09101005WR;LICUADORA HOLSTEIN V/VIDRIO 2 VEL;42
HH-09125017B;SANDWICHERA HOLSTEIN 2 CAV 3EN1 NEGRA;48
HH-09202005B;FREIDORA DE AIRE HOLSTEIN DE 3.5 LTS 1.200 WATTS DE POTENCIA;84
HH-09202001B;FREIDORA DE AIRE HOLSTEIN CON MINI SARTEN ELECT 4.5 LTS NEGRA;108
HH-09037022B;TOSTY AREPA NEGRO HOLSTEN;60
HH-09037022RM;TOSTY AREPA ROJO HOLSTEN;60
HH-09101014SS;CAFETERA 12 TZS C/FILTRO PERMANENTE;30
HH-09101002B;CAFETERA PROGRAMABLE DE 12 TAZAS, HOLSTEIN;42
HH-09101003B;BATIDORA DE MANO 5 VEL, HOLSTEIN NEGRA;24
HH-09174006R-BU;COTUFERA POP MAKER KIT C/RECIPIENTE;48
HH-09175001B;TOSTADOR DE PAN HOLSTEIN 2 REBANADS NGRA;36
HH-09200003SS;BATIDORA DE MANO Y PEDESTAL DE 5 VEL 250V BOWL 2.7L;72
HH-09106002SS;PANINI GRILL 4 PUESTO + 180 GRADOS, HOLSTEIN;96
179;COLADOR DE PASTA ACERO INOXIDABLE;9
252;RALLADOR DE 6 CARAS;12
251;TACO CON 6 CUCHILLOS;12
253;JUEGO DE UTENSILIOS DE 7 PIEZAS;21
247-B;JUEGO DE CUBIERTOS DE 24 PIEZAS EN ACERO INDACER EXTRA FUERTES;24
390;SET DE 7 CUCHILLOS CON BASE ESTRELLA;36
368;JUEGO DE OLLAS MONDONGUERAS 9 PZA;48
183;JGO  DE OLLAS 10 PZAS ACERO INOX;60
