CÓDIGO;PRODUCTO; PMVP 
442;JGO DE 4 REFRACTARIOS CON TAPA;23,85
444;SET DE 2 REFRACTARIOS CUADRADOS;17,55
349;SET DE 2 REFRACTARIOS OVALADO;17,55
350;SET DE ENSALADERAS C/TAPA Y UTENSILIOS;7,11
120;JGO DE 3 REFRACTARIOS REDONDOS C/TAPA;21,078
352;SET REFRACTARIOS OVALADO C/TAPA YBANDEJA;22,05
134;JUEGO JARRA CON 6 VASOS ACANALADOS;6,903
133;JUEGO DE JARRA CON 6 VASOS TALLADOS;6,903
132;JUEGO DE JARRA CON 6 VASOS ORION;5,58
364;VASO GIRALDA;13,824
112;VAJILLAS DE 20 PZAS PORCELANA IMPORTADA;23,328
122;JUEGO DE CONDIMENTERO CON BASE;22,59
275 , 296, 280;SET COMBO PICNIC (4PLATOS FLORAL + 1CONSERVADOR + 1BOWL);3,546
322;CESTA RECTANGULAR MULTIUSO;2,079
135;BATEA MULTIUSO;4,455
307;BANQUETA PLASTICA PLEGLABLE;6,525
137;JARRA PLASTICA JUMBO 4 LTS;3,258
441;CONSERVADOR CIERRE HERMETICO 5 PZAS.;3,375
140;JUEGO DE 3 CONSERVADORES REDONDOS;3,555
136;JUEGO DE 3 CONSERVADORES CON JARRA;4,95
138;JUEGO DE 2 POTES DE COCINA MULTIUSO;3,555
143;JUEGO DE 3 CONSERVADORES RECTANGULARES;3,375
139;VAJILLA PLASTICA DE 12 PZAS;6,255
TORTERA-GRANDE;TORTERA GRANDE NICOLOSO;4,455
PAILA4;SET DE 4 PAILAS DE ALUMINIO;8,055
SART24;SARTEN NICOLOSO 24 CM;3,15
162;ASADOR DE AREPA DE ALUMINIO;4,689
159;PAELLERA DE ALUMINIO;2,745
OLLAS-14PZAS;JUEGO DE OLLAS ALUMINIO 14 PIEZAS;15,75
164;JUEGO COLADOR DE CAFE;3,708
1415-1710;JUEGO DE OLLA DE ALUM 10 PZS S/COLADOR ASA NEGRA.;14,085
158;JGO DE OLLAS DE ALUMNIO 10 PZAS S/COLADOR;14,085
382; JUEGO DE OLLAS CARIBE 9 PIEZAS ALUMINIO;11,484
227;CARRITO COTUFERO SUJOYA DISEÑO FESTIVO;21,987
SJY-408;COCINA ELECTRICA DE 2 HORNILLAS;10,665
SJY-409;COCINA ELECTRICA 1 HORNILLA 1000W;6,255
SY-P30;SARTEN ELECTRICO/HORNO PIZZA 30CM DIAM. 1500W;15,255
SJY-388;BALANZA DE COCINA DIGITAL SUJOYA 7KG;3,555
SJY-386;BALANZA DE COCINA MECANICA SUOJYA 5 KG;3,375
SJY-384;PESO ELECTRONICO DE 40KG-5G-LCD-110V;21,51
SJY-18;"VENTILADOR HURACAN METALICO SUJOYA 18""";14,4
SJY-18P;"VENTILADOR HURACAN PLASTICO SUJOYA 18""";14,4
SJY-10;"VENTILADOR MINI HURACAN 10""";9,45
SJY-20;"VENTILADOR TURBO BOX SUJOYA 20""";25,875
CSY-05;BATIDORA DE INMERSION 3 EN 1 300W SUJOYA;17,955
242;ASADOR DE EMPANADAS SUJOYA;12,249
