 COD. ARTICULO; NOMBRE DEL ARTICULO;COSTO $
000IL139;PANTALON CABALLERO;7,5
000IL140;PANTALON CABALLERO;7,5
012013YE05;CHEMISE ESCOLAR;5
012015YE01;CHEMISE ESCOLAR;5
012015YE02;CHEMISE ESCOLAR;5
012015YE03;CHEMISE ESCOLAR;5
012015YE04;CHEMISE ESCOLAR;5
0162339BWHTF;CAMISA CABALLERO;2,5
02U0054;FALDA DAMA;2
082009YE04;CHEMISE ESCOLAR;5
988;PIJAMA LARGA ;3,3
1201;PANTALON ESCOLAR;5
13064;BLUSA DE DAMA ;2,5
13075;FRANELA DE CABALLERO ;4,5
14049;LEGGING DE DAMA;4
14054;BLUSA DE DAMA;3,5
14055;FRANELA DE CABALLERO ;4
14056;BLUSA DE DAMA ;1
14064;BLUSA DE DAMA ;1
14065;BLUSA DE DAMA ;1
14078;BRAGA DE DAMA ;5
15024;FRANELA DE CABALLERO ;4
15063;FRANELA DE DAMA ;2,5
15067;FRANELA DE DAMA ;2,5
15165;BLUSA DE DAMA;3
1531;PIJAMA CORTA ;2,084
16005;FRANELA DE CABALLERO ;4
16015;FRANELA DE CABALLERO ;4
16033;FRANELA DE CABALLERO ;4
16035;FRANELA DE CABALLERO ;4
16080;CHEMISE CABALLERO ;4,5
16081;FRANELA DE CABELLERO ;4,5
16082;CHEMISE DE CABALLERO ;4,5
16085;CHEMISE DE CABALLERO ;4,5
17026;FRANELA DAMA;3,5
17046;FRANELA DE CABALLERO ;5
17048;FRANELA DE CABALLERO ;5
17053;FRANELA DE CABALLERO ;5
17055;FRANELA DE CABALLERO ;4
17066;FRANELA DE CABALLERO ;5
17080;FRANELA DE CABALLERO ;6
17085;FRANELA DE CABALLERO ;4
18004;BLUSA DE DAMA ;2,5
18005;FRANELA DE DAMA ;1
18016;JOGGER DAMA;6
198;PANTALON JEANS CABALLERO ;15
200;PANTALON JEANS CLARO DE CABALLERO ;15
21090;SWEATER CABALLERO;14,5
21094;SWEATER DE DAMA;14,5
21095;JOGGER CABALLERO;8
22017;SWEATER MORGANA;7
22018;SWEATER;6
22019;KARDIGAN ;6
22023;LEGGING DE DAMA;3,5
22024;LEGGING DE DAMA;3,5
22026;LEGGING DE DAMA;4
22027;LEGGING DE DAMA;3,5
22029;LEGGIN DE DAMA;5
22031;LEGGIN DE DAMA;5
45201501BOY;PANTALON ESCOLAR;5
76019;PANTALON SURF DAMA ;2
BL2016ELIGMA;BLUSA DE DAMA ;2
CEM0001;PANTALON DAMA ;6
CEM0002;PANTALON DAMA BOTA ANCHA;6
CEM0003;FALDA DAMA;3,33
CEM0004;BRAGA DAMA;6,666
CEM0005;CAMISA DAMA;7
CEM0006;PANTALON DAMA;3,334
CEM0007;PANTALON DAMA NEGRO;6
CEM0008;PANTALON DAMA BLANCO;6
ECKFR;FRANELA CABALLERO ;2,5
FRJV2016ELIGSM1;FRANELA JUVENIL;2
FRJV2016ELIGSM2;FRANELA JUVENIL;2
IKE09;FRANELA TIRITA ;2
LB518BLUS;BLUSA DAMA;2,5
LB519BLUSMC;BLUSA DAMA;2,5
LT0813FML;FRANELA BEBE;1,5
LT201402FB;FRANELA BEBE ;2
LT201502;GORRO BEBE ;1,5
LT201504FP;PIJAMA ;2
LT201505;PIJAMA ;2,5
LT201507PJ;PANTALON JUVENIL ;2,5
LT201510;FRANELA NIÑA ;2
LT201510FB;FRANELA BEBE;1,5
LT201514FB;FRANELA BEBE;2
LT201516P;PANTALON MONO ;2
LT201611CMSC;CAMISETA CABALLERO;2
LT201611FPCB;FRANELA CABALLERO;2,5
LT201611FPCR;FRANELA CABALLERO ;2
LT201611FPCRL;FRANELA CABALLERO;2,5
LT201611FPCV;FRANELA CABALLERO;2,5
LT201611FPD3/4;FRANELA DAMA 3/4;2,5
LT201611FRDC;FRANELA DAMA;2,5
LT201611SWCT;SWEATER CABALLERO;2,5
LT201612;SHORT NIÑO;2
LT2016121PMB;MONO BEBE;2,5
LT2016122BOX;BOXER CABALLERO;2
LT2016122FMCB;FRANELA CABALLERO;2
LT2016122FSMD;FRANELA DAMA;2
LT201612BOX;BOXER NIÑO;2
LT201612FSD;FRANELA DAMA;2
LT25201602BB;BABERO BEBE;2
LT25201602LPN;LEGGING NIÑA;2
LT25201602MN;MONO NIÑA;2
LT25201602SHB;SHORT BEBE;2
LT25201602SWD;SWEATER DAMA;2
LT25201603FMCPD;FRANELA DAMA;2
LT25201603FMLA;FRANELA NIÑA;2,5
LT25201604BSM;BLUSA DAMA;2
LT25201604BTBSM;BLUSA DAMA;3
LT25201604FMLO;FRANELA NIÑA;2
LT25201604FMLPD;FRANELA DAMA;2
LT25201604FMPB;FRANELA BEBE;2
LT25201604FTD;FRANELA TIRITA PARA DAMA;2,5
LT25201604TOPD;TOP DAMA;2
LT25201605FPCES;FRANELA CABALLERO;2
LT25201605SHNA;SHORT NIÑA;2
LT25201606BOXS;BOXER CABALLERO;2
LT25201608MPC;MONO CABALLERO;2
LT25201609MPDP;PANTALON MONO DAMA;2
LT25201609SWN;SWEATER NIÑA;2,5
LT52010619CN1;FRANELA NIÑO;2
LT5201602BB;BABEROS;2
LT5201602FB;FRANELA BEBE ;2
LT5201602G;GORRO BEBE ;1,5
LT5201602PMB;PANTALON MONO BEBE;2
LT5201602SWN;SWEATER NIÑA ;2,5
LT5201604FC1;FRANELA CABALLERO;2,5
LT5201604FJ1;FRANELA JUVENIL;2,5
LT5201604FML1;FRANELA JUVENIL;2,5
LT5201605BOX1;BOXER NIÑO;2
LT5201605BOXA1;BOXER NIÑA;2
LT5201605BOXC1;BOXER CABALLERO;2
LT52016066PMMA1;MONO NIÑO;2
LT5201606LPB;LEGGING BEBE;2
LT5201606PMM1;MONO NIÑA;2,5
LT5201606PMN1;MONO N;2,5
LT5201606PMNA1;PANTALON MONO P/NIÑA;2,5
LT5201606PNJN;MONO PIJAMA NIÑO;2
LT5201611FMLC1;FRANELA CABALLERO;2
LT5201611FSM1;FRANELA CABALLERO;2,5
LT5201611MBOX1;MONO BOXER CABALLERO;2
